Title,BSR,Price in £ (starting from),Author,Book Type,ASIN,ISBN-10,ISBN-13,URL
"Tapping Ink, Tattooing Identities: Tradition and Modernity in Contemporary Kalinga Society, North Luzon, Philippines","860,436","2,283.99",Analyn V. Salvador-Amores,Paperback,9715427057,9715427057,978-9715427050,https://www.amazon.co.uk/Tapping-Ink-Tattooing-Identities-Contemporary/dp/9715427057/ref=sr_1_1/257-9237603-0724647?s=books&ie=UTF8&qid=1540747772&sr=1-1&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
A Little Box of Fairy Tales,"4,089,091","2,228.67",Olive Jones,Paperback,416246907,416246907,978-0416246902,https://www.amazon.co.uk/Little-Box-Fairy-Tales/dp/0416246907/ref=sr_1_80?s=books&ie=UTF8&qid=1540747826&sr=1-80&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Deceived by Magic: Volume 6 (The Baine Chronicles),"2,000,905","2,000.00",Jasmine Walt,Paperback,1542392225,1542392225,978-1542392228,https://www.amazon.co.uk/Deceived-Magic-6-Baine-Chronicles/dp/1542392225/ref=sr_1_112?s=books&ie=UTF8&qid=1540747862&sr=1-112&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
"Guia practica para tener bebes tranquilos y felices / The Baby Whisperer Solves All Your Problems: El sueno, la alimentacion y la conducta-- Una guia ... the Basics from Infancy Through Toddlerhood","9,619,492","2,000.00",Tracy Hogg,Paperback,8498674972,8498674972,978-8498674972,https://www.amazon.co.uk/practica-tranquilos-felices-Whisperer-Problems/dp/8498674972/ref=sr_1_240?s=books&ie=UTF8&qid=1540747995&sr=1-240&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
"Touch of Frost: Volume 1 (Magic, New Mexico)","3,460,507","2,000.00",S. E. Smith,Paperback,1500777765,1500777765,978-1500777760,https://www.amazon.co.uk/Touch-Frost-Magic-New-Mexico/dp/1500777765/ref=sr_1_272?s=books&ie=UTF8&qid=1540748030&sr=1-272&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Methods of Mathematical Finance (Stochastic Modelling and Applied Probability),"5,162,379","2,331.98",Ioannis Karatzas,Paperback,1441928529,1441928529,978-1441928528,https://www.amazon.co.uk/Methods-Mathematical-Stochastic-Modelling-Probability/dp/1441928529/ref=sr_1_288?s=books&ie=UTF8&qid=1540748046&sr=1-288&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
The Soldier's Pocket-Book for Field Service,"5,586,459","2,000.00",Garnet Joseph Wolseley,Paperback,1147163758,1147163758,978-1147163759,https://www.amazon.co.uk/Soldiers-Pocket-Book-Field-Service/dp/1147163758/ref=sr_1_304?s=books&ie=UTF8&qid=1540748061&sr=1-304&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Diccionario Etimologico del Lunfardo (Bitacora),"9,791,377","2,000.00",Oscar Conde,Paperback,9506391858,9789506391850,978-9506391850,https://www.amazon.co.uk/Diccionario-Etimologico-del-Lunfardo-Bitacora/dp/9506391858/ref=sr_1_992?s=books&ie=UTF8&qid=1540748802&sr=1-992&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
LA TIERRA LIGERA,"8,697,544","2,466.32",Santiago Miralles,Paperback,8493073571,8493073571,978-8493073572,https://www.amazon.co.uk/TIERRA-LIGERA-Santiago-Miralles/dp/8493073571/ref=sr_1_1136?s=books&ie=UTF8&qid=1540748952&sr=1-1136&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Measurements of Ki Energy Diagnoses & Treatments: Treatment principles of Oriental Medicine from an Electrophysiological Viewpoint,"6,506,641","2,228.99",Hiroshi Motoyama,Paperback,4879607045,4879607045,978-4879607041,https://www.amazon.co.uk/Measurements-Energy-Diagnoses-Treatments-Electrophysiological/dp/4879607045/ref=sr_1_1197?s=books&ie=UTF8&qid=1540749016&sr=1-1197&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Recovery of Faith,"3,870,788","2,181.99",S. Radhakrishnan,Paperback,8172231458,8172231458,978-8172231453,https://www.amazon.co.uk/Recovery-Faith-S-Radhakrishnan/dp/8172231458/ref=sr_1_1181?s=books&ie=UTF8&qid=1540749000&sr=1-1181&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Scholar's Manual of Homoeopathic Materia Medica,"6,103,582","2,029.99",Azad Rai,Paperback,8180565912,8180565912,978-8180565915,https://www.amazon.co.uk/Scholars-Manual-Homoeopathic-Materia-Medica/dp/8180565912/ref=sr_1_1179?s=books&ie=UTF8&qid=1540749000&sr=1-1179&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Prahlad,"6,744,869","2,431.99",Agrawal Lata,Paperback,8189973126,8189973126,978-8189973124,https://www.amazon.co.uk/Prahlad-Agrawal-Lata/dp/8189973126/ref=sr_1_1178?s=books&ie=UTF8&qid=1540749000&sr=1-1178&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Lonely Planet Japon (Travel Guide),"3,497,759","2,000.00",Chris Rowthorn,Paperback,8408124056,8408124056,978-8408124054,https://www.amazon.co.uk/Lonely-Planet-Japon-Travel-Guide/dp/8408124056/ref=sr_1_1173?s=books&ie=UTF8&qid=1540749000&sr=1-1173&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Albert Camus: Obras Completas / Complete Works (Alianza Tres / Three Alliance),"7,240,542","2,130.99",Albert Camus,Paperback,8420632996,8420632996,978-8420632995,https://www.amazon.co.uk/Albert-Camus-Completas-Complete-Alliance/dp/8420632996/ref=sr_1_1171?s=books&ie=UTF8&qid=1540749000&sr=1-1171&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Ceuta,"4,292,091","2,285.31",Barcelo Gomez,Paperback,8424191838,8424191838,978-8424191832,https://www.amazon.co.uk/Ceuta-Barcelo-Gomez/dp/8424191838/ref=sr_1_1167?s=books&ie=UTF8&qid=1540748982&sr=1-1167&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Trayectoria narrativa de Carmen Martin Gaite / Career Carmen Martin Gaite Narrative (Brh. Estudios Y Ensayos),"9,593,500","2,366.93",J. Jurado Morales,Paperback,8424923553,8424923553,978-8424923556,https://www.amazon.co.uk/Trayectoria-narrativa-Narrative-Estudios-Ensayos/dp/8424923553/ref=sr_1_1165?s=books&ie=UTF8&qid=1540748982&sr=1-1165&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Tratado de Ceramica,"7,944,279","2,116.99",Finn Lynggaard,Paperback,8428204381,8428204381,978-8428204385,https://www.amazon.co.uk/Tratado-Ceramica-Finn-Lynggaard/dp/8428204381/ref=sr_1_1164?s=books&ie=UTF8&qid=1540748982&sr=1-1164&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
"helio_oiticica-witte_de_with,_center_for_contemporary_art,_rotterdam,_22_febrer-","9,699,522","2,422.99",Helio Oiticica,Paperback,8460418626,8460418626,978-8460418627,https://www.amazon.co.uk/helio_oiticica-witte_de_with-_center_for_contemporary_art-_rotterdam-_22_febrer-Oiticica/dp/8460418626/ref=sr_1_1153?s=books&ie=UTF8&qid=1540748982&sr=1-1153&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
La Revolucion En Bicicleta (Byblos: Narrativa),"7,125,720","2,000.00",Mempo Giardinelli,Paperback,8466617663,8466617663,978-8466617666,https://www.amazon.co.uk/Revolucion-En-Bicicleta-Byblos-Narrativa/dp/8466617663/ref=sr_1_1151?s=books&ie=UTF8&qid=1540748969&sr=1-1151&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
